ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
729,"Jagdbetrieb, Hege und Brauchtum",Welche Pflanzen sind als natürliche Winteräsung für Schalenwild besonders geeignet?,Weidenröschen und Vergissmeinnicht,Brom- und Heidelbeere,Erle und Schlehe,2
731,"Jagdbetrieb, Hege und Brauchtum",Welche Pflanze bietet dem Wild im Winter grüne Blattäsung?,Schwarzer Holunder,Brombeere,Himbeere,2
732,"Jagdbetrieb, Hege und Brauchtum",Welche Vorrangfunktion haben Randstreifen entlang von Äckern und Gewässern?,Spaziergängern neue Wanderwege bieten,Für die Tierwelt bevorzugte Lebensräume schaffen und erhalten,Den Landwirten zum Befahren mit ihren Maschinen dienen,2
733,"Jagdbetrieb, Hege und Brauchtum",Welche Maßnahme der Jagdbezirksgestaltung trägt zur Verbesserung der Äsungsmöglichkeiten für das Schalenwild bei?,Ausbringen von Herbiziden,Anlage von Wildäckern,Anlage von Pirschwegen,2
734,"Jagdbetrieb, Hege und Brauchtum",Welches ist eine einjährige Pflanzenart?,Hafer,Topinambur,Waldstaudenroggen,1
736,"Jagdbetrieb, Hege und Brauchtum",Welche Pflanzenart eignet sich auf dem Wildacker in der Feldflur besonders als Deckung im Winter?,Topinambur,Phacelia (Bienenweide),Rotklee,1
740,"Jagdbetrieb, Hege und Brauchtum",Welche der genannten Wildart nimmt Salzlecken an?,Wildtauben,Marder,Fasanen,1
741,"Jagdbetrieb, Hege und Brauchtum",Dürfen bei einem Kesseltreiben die Jagdhunde frei laufen?,"Nein, Jagdhunde sind angeleint zu führen, damit ungehindert in den Kessel geschossen werden kann.","Ja, Jagdhunde sind zum Aufstöbern der Hasen und zum Bringen zu schnallen.","Ja, aber nur bis das Kommando Treiber in den Kessel erfolgt.",1
742,"Jagdbetrieb, Hege und Brauchtum",Wann stellt man für das Schalenwild Salzlecksteine auf?,Das ganze Jahr über,Nur im Winter,Nur im Sommer,1
743,"Jagdbetrieb, Hege und Brauchtum",Mit welcher jagdlichen Maßnahme lassen sich Straßenverkehrsunfälle mit Wildtieren wirksam minimieren?,Absenkung der Wilddichten durch Erlegung.,Aufstellen von Verkehrsschildern Achtung Wildwechsel ,Anlage von Wildäckern in Straßennähe.,1
745,"Jagdbetrieb, Hege und Brauchtum",Was ist Apfeltrester?,Rückstand bei der Vermostung der Äpfel,Fallobst zum Ankirren,für die Wildfütterung getrocknete Äpfel,1
746,"Jagdbetrieb, Hege und Brauchtum","Wie erreicht der Jäger, dass Schwarzwild einen Malbaum annimmt?",durch Bestreichen einzelner Bäume oder Stubben mit Buchenteer,durch Bestreichen der Bäume mit Losung des Rehwildes,durch Fütterung oder Kirrung am Baum,1
747,"Jagdbetrieb, Hege und Brauchtum",Was sind die wichtigsten Maßnahmen für eine erfolgreiche Niederwildhege?,Biotopgestaltung und Raubwildbejagung,ganzjährige Fütterung,absolutes Bejagungsverbot,1
749,"Jagdbetrieb, Hege und Brauchtum",Ein Bruch ist senkrecht in die Erde gesteckt. Um was handelt es sich?,Warnbruch,Anschussbruch,Wartebruch,2
750,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdart zählt zur Einzeljagd?,Ansitz-Drückjagd,Pirsch,Treibjagd,2
751,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart wird mit der Hasenklage angelockt?,Dachs,Fuchs,Marder,2
752,"Jagdbetrieb, Hege und Brauchtum",Sie finden am Anschuss eines auf den Schuss geflüchteten Rehbockes dunkelrot-braunen Schweiß. Was ist getroffen?,Lunge,Leber,Herz,2
754,"Jagdbetrieb, Hege und Brauchtum","Wie nennt man die Trophäe, welche man aus den Fangzähnen des Fuchses gewinnt?",Krucken,Haken,Stempel,2
755,"Jagdbetrieb, Hege und Brauchtum",Was ist ein Ansitzschirm?,Regenschirm für Ansitze,Bodensitz mit Sichtschirm,5 m hohe Kanzel,2
756,"Jagdbetrieb, Hege und Brauchtum",Ein kreisrund gebogener bis an die Spitze befegter armlanger Zweig hängt in Kopfhöhe an einem Baum. Um was handelt es sich?,Fährtenbruch,Warnbruch,Wartebruch,2
757,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdart zählt nicht zur Einzeljagd?,Suche mit dem Hund,Treibjagd,Pirsch,2
758,"Jagdbetrieb, Hege und Brauchtum",Was versteht man unter Sprengen ?,das Verteilen von Kirrmaterial,den Fuchs aus dem Bau treiben,die Rotte Sauen unter Verwendung von Sprengmitteln zu vereinzeln,2
759,"Jagdbetrieb, Hege und Brauchtum",Wann sollte die Nachsuche nach einem Gebrechschuss beim Frischling auf der Einzeljagd begonnen werden?,nach 2-3 Stunden,sofort,am nächsten Morgen,2
760,"Jagdbetrieb, Hege und Brauchtum",Wann können Altfüchse mit der Jagdwaffe und mit sofort tötenden Fallensystemen bejagt werden?,Die Bejagung sollte wegen des reifen Balges nur von November bis Februar erfolgen.,"Die Bejagung mit der Jagdwaffe kann ganzjährig mit Ausnahme der für die Jungenaufzucht notwendigen Elterntiere, erfolgen. Die Verwendung von sofort tötenden Fallensystemen ist nicht zulässig.","Die Bejagung kann ganzjährig erfolgen, mit Ausnahme der für die Jungenaufzucht notwendigen Fähen.",2
761,"Jagdbetrieb, Hege und Brauchtum",Welche Wildtiere leben nach der Paarungszeit überwiegend gesellig?,erwachsene Auerhähne,Bachen mit Überläufern und Frischlingen,Feldhäsinnen und Feldhasen,2
762,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart wird mit der Wippbrettfalle gefangen?,Kaninchen,Hermelin,Fasane,2
763,"Jagdbetrieb, Hege und Brauchtum",Wie zeichnet in der Lunge getroffenes Federwild?,durch Hängenlassen der Ständer,durch steiles Emporfliegen (Himmeln),"durch langsames, schräges Herabfallen",2
764,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage entspricht dem jagdlichen Brauchtum?,Beim Streckelegen liegt Niederwild stets vor Hochwild und Haarwild vor Federwild.,"Grundsätzlich steht das kleine Jägerrecht demjenigen zu, der das Stück aufbricht.",Mit dem Jagdsignal Hahn in Ruh wird die Jagd auf Federwild untersagt.,2
765,"Jagdbetrieb, Hege und Brauchtum",Nach dem Thüringer Jagdgesetz ist die Gesellschaftsjagd,"jede Jagd, an der vier Jagdausübende teilnehmen.","jede Jagd, an der mehr als vier Jagdausübende teilnehmen.","jede Jagd, an der mindestens vier Personen teilnehmen.",2
766,"Jagdbetrieb, Hege und Brauchtum",Ein Salzleckstein wird als Stangensulze ausgebracht. Was ist dabei zu beachten?,"Er wird möglichst ohne Unterlage auf der Erde ausgelegt, damit das Salz direkt für das Wild zugänglich ist.","Er wird so angebracht, dass nur die ablaufende Salzlösung für das Wild zugänglich ist.","Er wird so angebracht, dass er vor Regen und Feuchtigkeit geschützt ist.",2
767,"Jagdbetrieb, Hege und Brauchtum","Wie erfolgt der mehrstündige Transport von aufgebrochenem Wild vom Erlegungsort in die Kühlzelle? Wenn das erlegte Haarwild nicht unmittelbar an Verbraucher (Freunde, Verwandte, etc.) abgegeben wird.","In einer luftdicht verschlossenen Kunststoffwanne, um das Wildbret vor Verschmutzung und Krankheitserregern zu schützen.",Das Wildbret ist vor Verschmutzungen zu schützen und ein ständiges Auskühlen ist zu gewährleisten.,Bei mehreren erlegten Wildkörpern können diese auf der offenen Ladefläche übereinanderliegend befördert werden.,2
769,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage trifft auf das Rebhuhn zu?,Rebhühner sind Zugvögel.,Rebhühner sind Bodenbrüter.,Das Rebhuhn ist Vogel des Jahres 2017.,2
770,"Jagdbetrieb, Hege und Brauchtum",Welchen Vorteil bieten Ansitzleitern im Vergleich zu geschlossenen Kanzeln,Für das Aufstellen/Errichten von Ansitzleitern wird vom Grundeigentümer keine Zustimmung benötigt.,Man hört und sieht mehr.,Das Aufstellen/Errichten von Ansitzleitern unterliegt nicht der Unfallverhütungsvorschrift Jagd der Berufsgenossenschaft.,2
771,"Jagdbetrieb, Hege und Brauchtum",Welches der nachgenannten Ferngläser erbringt die größte Dämmerungsleistung?,7 x 42,8 x 56,8 x 30,2
772,"Jagdbetrieb, Hege und Brauchtum",Was bedeuten die Zahlen beim Fernglas 8 x 56?,8x 56 m Beobachtungsentfernung,"8 fache Vergrößerung, 56 mm Durchmesser des Objektives",448 m Sehfeld auf 1 000 m Entfernung,2
773,"Jagdbetrieb, Hege und Brauchtum","Auf welche Entfernung bezieht sich die Angabe für ein Fernglas ""Sehfeld 145 m""?",100 m,1 000 m,500 m,2
774,"Jagdbetrieb, Hege und Brauchtum","Wie bezeichnet man das auf der Jagd verwendete optische Hilfsmittel, das Erkennen feiner Details über große Entfernungen erlaubt?",Zielfernrohr,Spektiv,Dachkant-Fernglas,2
777,"Jagdbetrieb, Hege und Brauchtum",Mit welchem Organ ist die bei einigen Wildarten vorhandene Gallenblase verwachsen?,Milz,Leber,Bauchspeicheldrüse,2
778,"Jagdbetrieb, Hege und Brauchtum",Zum sogenannten kleinen Jägerrecht gehört die Milz. Mit welchem Organ ist die Milz beim Rehwild verbunden?,Leber,Magen,Zwerchfell,2
779,"Jagdbetrieb, Hege und Brauchtum","Welche der nachgenannten Merkmale zeigt an, dass ein Stück Schalenwild verhitzt ist?",Nasses Haarkleid,Verfärbung des Wildbrets,Totenstarre,2
780,"Jagdbetrieb, Hege und Brauchtum","Hat ein Rachenbremsenbefall beim Rehwild, wenn sonst keine gesundheitlich bedenklichen Merkmale vorliegen, einen Einfluss auf die Genusstauglichkeit des Wildbrets?",Ja,"Nein, das Wildbret ist nach Entfernung der Parasiten genusstauglich.","Ja, aber nur bei gewerblicher Vermarktung des Wildbrets.",2
781,"Jagdbetrieb, Hege und Brauchtum",Was ist unter verhitztem Wild zu verstehen?,"Wild, das in großer Hitze zur Strecke kam","Wild, dessen Fleisch für den Verzehr gesundheitlich bedenklich erscheint, weil es nicht richtig auskühlen konnte","Wild, das nach einer Hetze zur Strecke kam",2
782,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Ursachen kann zum Verhitzen von Wildbret führen?,Mangelhafte Auskühlung des Wildbrets,Unverzügliches Aufbrechen des Wildes,Befall mit Schimmelpilzen,1
783,"Jagdbetrieb, Hege und Brauchtum","Darf das Wildbret einer Ricke ohne amtliche Fleischuntersuchung zum eigenen Verbrauch verwendet werden, wenn Sie beim Aufbrechen Lungenwurmbefall feststellen, ansonsten jedoch keine Organveränderungen vorhanden sind und die Ricke Normalgewicht hat?",Ja,Nein,Nur bei schwachem Befall und einer Wurmmenge unter 10 Stück je kg Lebendmasse.,1
784,"Jagdbetrieb, Hege und Brauchtum","Darf ein Dachskern, der keine bedenklichen Merkmale aufweist, vom Menschen verzehrt werden?","Er darf nur verzehrt werden, wenn die Trichinenuntersuchung dieses zulässt",Er darf ohne Einschränkung verzehrt werden,Er darf in keinem Fall verzehrt werden,1
785,"Jagdbetrieb, Hege und Brauchtum","Beeinträchtigt ein starker Zeckenbefall bei erlegtem Rehwild, wenn sonst keine gesundheitlich bedenklichen Merkmale vorliegen, die Genusstauglichkeit des Wildbrets?",Nein,Ja,"Ja, aber nur bei mehr als 6 Zecken je kg Lebendmasse.",1
786,"Jagdbetrieb, Hege und Brauchtum","Ist es an Frosttagen ebenso wie an heißen Sommertagen notwendig, ein Stück Schalenwild nach der Erlegung alsbald aufzubrechen?",Ja,Nein,"Nein, auch verspätetes Aufbrechen nach 10 Stunden widerspricht nicht den Vorschiften.",1
787,"Jagdbetrieb, Hege und Brauchtum","Was sollen Schützen oder Treiber, die einen erlegten Hasen aufnehmen, sofort mit dem Hasen tun?",Blase ausdrücken,Zur Strecke legen,Alter feststellen,1
788,"Jagdbetrieb, Hege und Brauchtum",Wie sollen erlegte Wildenten bei einer Entenjagd über mehrere Stunden im September mitgetragen werden?,Am Federwildgalgen,Im Rucksack,Im Plastiksack,1
789,"Jagdbetrieb, Hege und Brauchtum",Welcher der folgenden Befunde ist zwingend als gesundheitlich bedenkliches Merkmal in Bezug auf Wildbrethygienevorschriften anzusehen?,Abnormes Verhalten,Missbildung des Gehörnes,Erlegung eines Stück Wildes in der Schonzeit,1
790,"Jagdbetrieb, Hege und Brauchtum",Welche Feststellung gilt als gesundheitlich bedenkliches Merkmal?,Offene Knochenbrüche soweit sie nicht unmittelbar mit dem Erlegen im Zusammenhang stehen,Scheuern am Mahlbaum,Gelegentliches Husten,1
791,"Jagdbetrieb, Hege und Brauchtum",Welche Feststellung gilt als gesundheitlich bedenkliches Merkmal?,Zahlreiche Geschwülste,Verspätetes Austreten,Heimliches Verhalten,1
792,"Jagdbetrieb, Hege und Brauchtum",Welche Feststellung gilt als gesundheitlich bedenkliches Merkmal?,Verklebungen der inneren Organe,Gelegentliches Niesen,Verzögerter Haarwechsel,1
793,"Jagdbetrieb, Hege und Brauchtum",Welche Feststellung gilt als gesundheitlich bedenkliches Merkmal?,"Erhebliche Abweichung der Muskulatur in Farbe, Konsistenz oder Geruch",Husten infolge Rachendassellarvenbefall,Suhlen,1
794,"Jagdbetrieb, Hege und Brauchtum",Rachenbremsenlarven,beeinträchtigen die Genusstauglichkeit des Schalenwildes in der Regel nicht.,kommen vor allem bei Niederwild vor.,führen zu empfindlichen Entzündungen im Rückenmark befallener Tiere.,1
795,"Jagdbetrieb, Hege und Brauchtum",Welcher Parasit kann Rehwild befallen?,Leberegel,Rotwürmer,Trichinen,1
796,"Jagdbetrieb, Hege und Brauchtum",Wer ist der häufigste Zwischenwirt des kleinen Fuchsbandwurmes?,Die Maus,Das Reh,Das Wildkaninchen,1
797,"Jagdbetrieb, Hege und Brauchtum",Mit welchem Innenparasiten des Fuchses kann sich auch der Mensch infizieren und daran lebensgefährlich erkranken?,Kleiner (fünfgliedriger) Fuchsbandwurm,Rachendassellarve,Rotwurm,1
798,"Jagdbetrieb, Hege und Brauchtum",Wie können am erlegten Stück Kleine Lungenwürmer nachgewiesen werden?,Teile der Lunge sind mit bis zu walnussgroßen Knoten befallen,durch Wurmlarven im Nasen-Rachen-Raum,durch Würmer in der Luftröhre,1
799,"Jagdbetrieb, Hege und Brauchtum","Ist Wildbret von Rehwild, das mit Kleinen Lungenwürmern befallen ist, genusstauglich?","Ja, nach Entfernung der Lunge",Nur bei geringem Befall,Nein,1
800,"Jagdbetrieb, Hege und Brauchtum",Ist Wildbret bei Befall mit Großen Leberegeln genusstauglich?,"Ja, wenn sonst keine gesundheitlich bedenklichen Merkmale vorhanden sind.",Nein.,Nur nach amtlicher Fleischuntersuchung.,1
801,"Jagdbetrieb, Hege und Brauchtum","Beim Aufbrechen eines Rehbockes findet der Jäger an der Leber eine hühnereigroße, mit Flüssigkeit gefüllte Blase. Um was handelt es sich?","Um eine Blase, die durch den Befall mit dem großen Leberegel verursacht wurde.","Um eine Blase, die durch den Befall mit dem kleinen Leberegel verursacht wurde.",Um eine Bandwurmfinne.,3
802,"Jagdbetrieb, Hege und Brauchtum",Welche der folgenden Aussagen zur Trichinose ist richtig?,Die Larven der Trichinen verkapseln sich in der Muskulatur.,Die in der Muskulatur verkapselten Larven sind nicht mehr ansteckungsfähig.,Die Vermehrung der Trichinen findet in der Muskulatur statt.,1
803,"Jagdbetrieb, Hege und Brauchtum",Wo setzen sich die Larven der Trichinen im Wirtskörper fest?,In der Muskulatur.,In der Unterhaut.,In den Blutgefäßen.,1
804,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart kann Trichinenträger sein?,Dachs,Hase,Wildkaninchen,1
805,"Jagdbetrieb, Hege und Brauchtum",Trichinen kommen vor,"bei vielen Säugetierarten, insbesondere bei Fleischund Allesfressern und beim Menschen.",ausschließlich bei Wild- und Hausschweinen.,ausschließlich bei Schwarzwild.,1
806,"Jagdbetrieb, Hege und Brauchtum",Welche Krankheit kann vom Wildschwein auf den Menschen übertragen werden?,Brucellose,Schweinepest,Aujeszkysche Krankheit,1
807,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Erkrankungen kann vom Haarwild auch auf den Menschen übertragen werden?,Tularämie,Schweinepest,Myxomatose,1
808,"Jagdbetrieb, Hege und Brauchtum",Bei welcher der aufgeführten Krankheiten besteht für den Menschen Infektionsgefahr?,Salmonellose,Schweinepest,Befall mit Rachenbremsenlarven,1
809,"Jagdbetrieb, Hege und Brauchtum",Welches Krankheitsbild zeigt sich bei Befall mit Coccidien?,Starker Durchfall mit Abmagerung,"Atembeschwerden, Husten",geschwollene Schleimhäute,1
810,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart erkrankt an Myxomatose?,Wildkaninchen,Fasan,Marder,1
811,"Jagdbetrieb, Hege und Brauchtum","Für welche Krankheit ist der verdickte Kopf, der sogenannte ""Löwenkopf"", ein deutliches Anzeichen?",Für Myxomatose,Für Schweinepest,Für Trichinose,1
812,"Jagdbetrieb, Hege und Brauchtum",Welche Behörde ist bei anzeigepflichtigen Tierkrankheiten in der Regel vor Ort zuständig?,Landratsamt - Veterinäramt,Landratsamt - Gesundheitsamt,Oberste Jagdbehörde,1
813,"Jagdbetrieb, Hege und Brauchtum",Bei welcher Wildart kann Räude seuchenhaftes Ausmaß annehmen?,Fuchs,Wildkaninchen,Feldhase,1
814,"Jagdbetrieb, Hege und Brauchtum","Die Fuchsräude ist eine Krankheit,",die auf den Hund übertragbar ist.,die äußerlich kaum erkennbar ist.,die nicht von Alttieren auf Jungtiere übertragen wird.,1
815,"Jagdbetrieb, Hege und Brauchtum",Ist ein an Brucellose erkrankter Hase für den menschlichen Genuss tauglich?,Nein.,"Ja, immer.","Ja, nach Entfernen der Milz.",1
816,"Jagdbetrieb, Hege und Brauchtum",Welche Anzeichen am lebenden Stück deuten auf Schweinepest hin?,"Bewegungsstörungen, taumelnder Gang",Rutschen auf den Keulen,Scheuern am Malbaum,1
817,"Jagdbetrieb, Hege und Brauchtum","Welche Krankheit kann vorliegen, wenn beim Aufbrechen eines Stückes Schwarzwild Blutungen auf den Nieren und Lymphknoten sichtbar sind?",Schweinepest,Brucellose,Maul-und Klauenseuche,1
818,"Jagdbetrieb, Hege und Brauchtum",Beim Aufbrechen eines Überläufers finden Sie rote Blutungspunkte auf dem Kehldeckel und in der Luftröhre. Für welche Krankheit ist dieser Befund typisch?,Schweinepest,Tollwut,Brucellose,1
819,"Jagdbetrieb, Hege und Brauchtum",Welche Methode mindert die Verbreitung von Wildseuchen?,Die Vermeidung von Überpopulationen durch Wildbestandsregulierung.,Ablenkfütterung.,Kirrjagd mit Küchenabfällen.,1
820,"Jagdbetrieb, Hege und Brauchtum",Was versteht man unter Botulismus?,Vergiftung vor allem von Wasservögeln durch ein Bakteriengift.,Fressen der eigenen Jungen.,Übertragung von Krankheiten durch Tiere auf Menschen.,1
822,"Jagdbetrieb, Hege und Brauchtum",Welche Wildart ist für Maul-und Klauenseuche empfänglich?,Rotwild,Fuchs,Hase,1
827,"Jagdbetrieb, Hege und Brauchtum",Bei welcher Gehörnabnormität kann der Rehbock sein Gehörn nicht mehr abwerfen?,Perückengehörn,Korkenziehergehörn,Mehrstangengehörn,1
828,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage zur Hygiene beim Wildbret ist falsch?,Fallwild ist aufzubrechen und zu versorgen.,Erlegtes Wild ist unverzüglich aufzubrechen und zu versorgen.,Erlegtes Großwild (Schalenwild) ist nach dem Aufbrechen und Versorgen alsbald auf eine Innentemperatur von 7°C abzukühlen.,1
830,"Jagdbetrieb, Hege und Brauchtum","Was versteht man unter ""Fallwild""?",nicht durch Erlegung verendetes Wild.,"Wild, das durch eine Falle gefangen wurde.","Wild, das erlegt wurde.",1
832,"Jagdbetrieb, Hege und Brauchtum",Wie behandeln Sie nach heutigen Erkenntnissen über Wildbrethygiene eine durch einen Weidwundschuss verunreinigte Bauchhöhle eines Stückes Rehwild?,Großzügiges Ausschneiden.,Ausreiben mit Gras oder Moos.,Ausreiben mit einem feuchten Schwamm.,1
833,"Jagdbetrieb, Hege und Brauchtum",Worauf ist beim Öffnen des Schlosses zu achten?,Dass die Blase nicht zerstochen wird.,Dass die Brandadern nicht verletzt werden.,Dass die Nieren nicht beschädigt werden.,1
834,"Jagdbetrieb, Hege und Brauchtum","Vom Zerwirken des Wildkörpers spricht man, wenn",der Wildkörper in Einzelteile aufgeteilt wird.,das Wildbret vermarktet wird.,das Stück ausgenommen wird.,1
835,"Jagdbetrieb, Hege und Brauchtum",Worauf ist beim Aufbrechen von Schalenwild zu achten?,Dass Weidsack und Gescheide nicht verletzt werden.,Dass das Zwerchfell nicht verletzt wird.,Dass Lunge und Herz im Brustraum verbleiben.,1
839,"Jagdbetrieb, Hege und Brauchtum",Wodurch wird die erwünschte Reifung des Wildbrets (Abbau der Zuckermoleküle in der Muskulatur und Säuerung des PH-Wertes) erreicht?,Kühles Abhängen bei max. 7°C.,Hetzen des Schalenwildes vor dem Erlegen.,Abwaschen mit kaltem und warmem Wasser.,1
841,"Jagdbetrieb, Hege und Brauchtum",Warum werden nach der Treibjagd die erlegten Hasen nebeneinander aufgehängt und nicht im Wildwagen übereinander gelegt?,zum besseren Auskühlen des Wildbrets,zur Vermeidung einer Verwechslung der erlegten Stücken,aus dem ethischen Grund der Nichtberührung des erlegten Raubwildes (Fuchs),1
842,"Jagdbetrieb, Hege und Brauchtum","Beim Aufbrechen von männlichem Schwarzwild ist darauf zu achten, dass",der Bereich um den Pinsel großzügig abgeschärft und die Brunftkugeln vollständig entfernt werden.,die Samenstränge am Wildkörper verbleiben.,die Eierstöcke alsbald entfernt werden.,1
843,"Jagdbetrieb, Hege und Brauchtum",Sollte der Schusskanal beim Zerwirken großzügig ausgeschnitten werden?,"Nein, weil ein schlechter Treffersitz immer nachvollzogen werden muss.","Ja, damit Hämatome und mögliche Verunreinigungen nicht die Wildbretqualität beeinträchtigen.","Nein, Wildbret ist ein wertvolles Lebensmittel und sollte nicht verschwendet werden.",2
845,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage zum Aufbrechen ist richtig?,Bauch- und Brustraum sowie gegebenenfalls Träger sind zu öffnen und innere Organe zu entnehmen.,"Das beim Aufbrechen zeitweise nicht genutzte Messer in den Boden oder in das Fleisch stecken, damit man es nachher wieder findet.",Zum Ausschweißen lege ich das Stück mit der Bauchseite nach unten auf den Boden.,1
846,"Jagdbetrieb, Hege und Brauchtum",Was ist ein kleines Gescheide?,Dünn-und Dickdarm,"Bauchspeicheldrüse, Milz und Dickdarm","Dünn-, Dickdarm und Brunftkugeln",1
847,"Jagdbetrieb, Hege und Brauchtum",Warum soll bei Federwild der Kropfinhalt nach dem Erlegen möglichst bald entleert werden?,"Weil man damit einem Gärprozess zuvorkommt, der das Wildbret verderben kann.",Um in den Kropf eingedrungene Schrotkörner zu beseitigen.,Um die weitere Bildung von Kropfmilch zu verhindern.,1
848,"Jagdbetrieb, Hege und Brauchtum",Worauf muss der Jäger beim Aufbrechen von Wild besonders achten?,Dass er eventuelle Organveränderungen wahrnimmt.,Dass er zügig arbeitet.,Dass bei Sauen das Zwerchfell sauber entfernt wird.,1
849,"Jagdbetrieb, Hege und Brauchtum",Zentrale Aufbrechstellen sollen,Vorrichtungen zum Aufhängen des Wildes haben.,"in der Nähe eines Weihers oder Baches gelegen sein, damit Wasser zum Auswaschen der Wildkörper zur Verfügung steht.","in der Nähe von Hecken oder Felsspalten gelegen sein, in denen man die Aufbrüche entsorgen kann.",1
850,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage lässt sich bei einem erlegten Stück Rehwild auf Grund der Beschaffenheit der Schlossnaht machen?,"Junge Stücke haben eine Schlossnaht, die gut tastbar und mit dem Waidmesser leicht durchtrennbar ist.",Die Schlossnaht erlaubt keine Rückschlüsse auf das Alter des Stückes.,Die Schlossnaht ist bei männlichen Stücken ausgeprägter als bei weiblichen.,1
851,"Jagdbetrieb, Hege und Brauchtum",Ein am Vorabend weidwund beschossenes Stück Rehwild kommt erst bei der Nachsuche am folgenden Morgen zur Strecke. Muss dieses Stück der amtlichen Fleischbeschau zugeführt werden?,Ja.,Nur wenn das Stück an eine Gaststätte verkauft werden soll.,"Nicht notwendig, wenn mit Gescheideinhalt verschmutzte Körperteile sorgfältig gesäubert bzw. ganz entfernt und verworfen werden.",1
852,"Jagdbetrieb, Hege und Brauchtum",Was sollte beim Aufbrechen von Schalenwild möglichst nicht verletzt werden?,Die Harnblase,Das Herz,Das Zwerchfell,1
853,"Jagdbetrieb, Hege und Brauchtum",Sie erlegen bei einem Ansitz einen stark abgekommenen Überläufer mit vereiterten Gebrech-Schuss. Was ist zur Verwendung des Wildbrets zu sagen?,Das Wildbret kann nur nach Freigabe durch eine amtliche Fleischuntersuchung weiter zum Verzehr verwendet werden.,"Wenn der Geruch und die Konsistenz des Wildbrets unauffällig sind, kann das Wildbret als Lebensmittel verwendet werden.",Das Wildbret kann im Familienkreis verzehrt werden.,1
854,"Jagdbetrieb, Hege und Brauchtum","Was tun Sie mit erlegten Wildenten, damit sie nicht verderben?",Sie werden noch im Jagdbezirk ausgeweidet und anschließend in einem Kühlschrank auf 4° C Kern- bzw. Innentemperatur heruntergekühlt.,Sie werden ausgehakelt und im Schatten aufgehängt.,Sie werden noch warm gerupft und unausgenommen zur Reifung aufgehängt.,1
855,"Jagdbetrieb, Hege und Brauchtum",Welche Teile des Wildkörpers muss der Jäger zur amtlichen Fleischuntersuchung vorlegen?,Den nicht zerwirkten Wildkörper und den dazugehörigen Aufbruch.,Nur das Gescheide.,Nur den nicht zerwirkten Wildkörper.,1
856,"Jagdbetrieb, Hege und Brauchtum",Wie lange sollte Großwild in der Kühlung reifen?,"Das ist abhängig von Wildart und Gewicht, ca. 1 - 4 Tage.",Mindestens 8 Tage.,Mindestens 14 Tage.,1
857,"Jagdbetrieb, Hege und Brauchtum","Welches Risiko birgt der Transport von erlegtem, aufgebrochenem Haarwild auf einem außen am Autoheck montierten Gestell?",In die offene Leibeshöhle des Tieres können während der Fahrt Schmutz und Autoabgase eintreten.,Die Leichenstarre des Wildkörpers tritt später ein.,Die Leichenstarre des Wildkörpers tritt früher ein.,1
858,"Jagdbetrieb, Hege und Brauchtum",Wann muss Wild der amtlichen Fleischuntersuchung unterzogen werden?,"Wenn das Wild vor der Schussabgabe gesundheitlich bedenkliche Merkmale zeigte oder das Wild nach der Erlegung gesundheitlich bedenkliche Merkmale aufweist, die den Verzehr durch den Menschen nicht zulassen.",Wenn Wild zum Eigenverbrauch oder zur Abgabe in kleinen Mengen an Privatpersonen vorgesehen ist und keine bedenklichen Merkmale aufweist.,Wenn das Wild unschädlich beseitigt werden soll.,1
859,"Jagdbetrieb, Hege und Brauchtum",Sie haben Ihren ersten Dachs erlegt und aus den Keulen wollen Sie Dachsschinken machen. Welche Aussage ist richtig?,Obwohl keine gesundheitlich bedenklichen Merkmale vorliegen ist eine Trichinenuntersuchung zu veranlassen.,Falls keine bedenklichen Merkmale vorliegen brauche ich nichts weiter zu veranlassen.,Die Keulen dürfen erst nach Besichtigung durch die kundige Person geräuchert werden.,1
861,"Jagdbetrieb, Hege und Brauchtum","Was gilt, wenn Sie mehrere Entzündungsherde am Wildkörper feststellen?","Eine amtliche Fleischuntersuchung ist nötig, der amtliche Tierarzt entscheidet über die Verwertbarkeit.",Das Wildbret ist trotz der Entzündungen voll verwertbar.,Nach großzügigem Ausschneiden der Entzündungen ist eine Abgabe an Dritte ohne amtliche Fleischuntersuchung möglich.,1
